abbreviation,long_form,count,marker,wiki_search_links
DDPP,Deep Decarbonization Pathways Project,4,Chapter 04,['//www.wikidata.org/wiki/Q23579853']
MAPS,Mitigation Action Plans and Scenarios,10,Chapter 04,[]
IDDRI,Institute for Sustainable Development and International Relations,2,Chapter 04,['//www.wikidata.org/wiki/Q25381095']
SDSN,"Sustainable
Development
Solutions
Network
",2,Chapter 04,[]
NDCs,nationally determined contributions,144,Chapter 04,['//www.wikidata.org/wiki/Q20051297']
HoSG,Heads of State and Government,3,Chapter 04,['//www.wikidata.org/wiki/Q5689998']
IEA,International Energy Agency,12,Chapter 04,"['//www.wikidata.org/wiki/Q826700', '//www.wikidata.org/wiki/Q48802009']"
SDG,sustainable development goals,9,Chapter 04,"['//www.wikidata.org/wiki/Q7649586', '//www.wikidata.org/wiki/Q22547988', '//www.wikidata.org/wiki/Q30252260', '//www.wikidata.org/wiki/Q104759743', '//www.wikidata.org/wiki/Q111643133', '//www.wikidata.org/wiki/Q109354788', '//www.wikidata.org/wiki/Q104856926']"
DES,"Development, equity and sustainability",1,Chapter 04,[]
CA,conservation agriculture,1,Chapter 04,"['//www.wikidata.org/wiki/Q4439388', '//www.wikidata.org/wiki/Q58175105', '//www.wikidata.org/wiki/Q57579081', '//www.wikidata.org/wiki/Q58077860', '//www.wikidata.org/wiki/Q57579094', '//www.wikidata.org/wiki/Q64452356', '//www.wikidata.org/wiki/Q60550533']"
eds.,"Editio. [Windham-Myers, L., S. Crooks, and T.G. Troxler,",1,Chapter 04,[]
PMR,Partnership for Market Readiness,1,Chapter 04,[]
France,Franck Lecocq,20,Chapter 04,['//www.wikidata.org/wiki/Q58366013']
SDPS,Shifting development pathways to increased sustainability,6,Chapter 04,[]
GWPs,global warming potentials,5,Chapter 04,['//www.wikidata.org/wiki/Q57402965']
BRs,biennial reports,1,Chapter 04,['//www.wikidata.org/wiki/Q66306895']
BURs,biennial update reports,1,Chapter 04,[]
BTRs,biennial transparency reports,1,Chapter 04,[]
ICIs,international cooperative initiatives,4,Chapter 04,[]
SEAD,Super-efficient Equipment Appliance Deployment,1,Chapter 04,[]
LCTPi,Low Carbon Technology Partnerships,4,Chapter 04,[]
LEDS,low-emissions development strategies,2,Chapter 04,[]
CCS,carbon capture and sequestration,23,Chapter 04,"['//www.wikidata.org/wiki/Q59595408', '//www.wikidata.org/wiki/Q59599221', '//www.wikidata.org/wiki/Q59597782', '//www.wikidata.org/wiki/Q59638196']"
CDR,carbon dioxide removal,3,Chapter 04,"['//www.wikidata.org/wiki/Q56298528', '//www.wikidata.org/wiki/Q59296188', '//www.wikidata.org/wiki/Q59411018']"
HFC,hydrofluorocarbon,2,Chapter 04,"['//www.wikidata.org/wiki/Q1031943', '//www.wikidata.org/wiki/Q59100158']"
GWP,global warming potential,6,Chapter 04,"['//www.wikidata.org/wiki/Q901028', '//www.wikidata.org/wiki/Q57084968', '//www.wikidata.org/wiki/Q57084755', '//www.wikidata.org/wiki/Q57084921', '//www.wikidata.org/wiki/Q57084776', '//www.wikidata.org/wiki/Q57402965']"
SLCFs,short-lived climate forcers,2,Chapter 04,"['//www.wikidata.org/wiki/Q108097072', '//www.wikidata.org/wiki/Q58386605']"
LCDI,Low Carbon Development Initiative,1,Chapter 04,[]
NBS,nature-based solutions,3,Chapter 04,"['//www.wikidata.org/wiki/Q2421934', '//www.wikidata.org/wiki/Q74278659', '//www.wikidata.org/wiki/Q56752602', '//www.wikidata.org/wiki/Q56752590', '//www.wikidata.org/wiki/Q56873279']"
CSA,"Climate Smart Agriculture
",5,Chapter 04,"['//www.wikidata.org/wiki/Q85752879', '//www.wikidata.org/wiki/Q110832922', '//www.wikidata.org/wiki/Q58400322', '//www.wikidata.org/wiki/Q58613732']"
ITUC,International Trade Union Confederation,2,Chapter 04,"['//www.wikidata.org/wiki/Q1071706', '//www.wikidata.org/wiki/Q5974948']"
ILO,International Labour Organization,3,Chapter 04,"['//www.wikidata.org/wiki/Q54129', '//www.wikidata.org/wiki/Q29883540', '//www.wikidata.org/wiki/Q29700241', '//www.wikidata.org/wiki/Q100269536', '//www.wikidata.org/wiki/Q111172886', '//www.wikidata.org/wiki/Q100269543', '//www.wikidata.org/wiki/Q64656550']"
UNEP,UN Environmental Programme,32,Chapter 04,[]
INDC,"Intended
Nationally
Determined development Contribution",2,Chapter 04,[]
SDGs,"Sustainable
Development Goals",30,Chapter 04,[]
GHG,"Greenhouse
Gases
",98,Chapter 04,[]
inventory,"inventory
data",3,Chapter 04,[]
AFOLU,"agriculture, forestry and land use",14,Chapter 04,[]
emission,emissions,108,Chapter 04,"['//www.wikidata.org/wiki/Q10711575', '//www.wikidata.org/wiki/Q11198293', '//www.wikidata.org/wiki/Q8348417', '//www.wikidata.org/wiki/Q16722080', '//www.wikidata.org/wiki/Q21000630', '//www.wikidata.org/wiki/Q8775613', '//www.wikidata.org/wiki/Q4855914']"
ETIP PV,"European & Technology Innovation Platform Photovoltaic
",1,Chapter 04,[]
AREI,"Africa
Renewable Initiative Energy",1,Chapter 04,[]
GGA,"Global
Geothermal Alliance",1,Chapter 04,[]
CCAC,"Climate
&
Clean Coalition Air",1,Chapter 04,[]
OGMP,"Oil
and
Gas
Methane Partnership",1,Chapter 04,[]
LAC,Latin American Deep Decarbonisation Pathways project,1,Chapter 04,[]
IOT,internet-of-things,2,Chapter 04,"['//www.wikidata.org/wiki/Q251212', '//www.wikidata.org/wiki/Q96708225', '//www.wikidata.org/wiki/Q96325266', '//www.wikidata.org/wiki/Q110262629', '//www.wikidata.org/wiki/Q59408925', '//www.wikidata.org/wiki/Q105700358', '//www.wikidata.org/wiki/Q106087667']"
areas,"air quality, health, and biodiversity",14,Chapter 04,[]
GDP,GDP per capita,36,Chapter 04,"['//www.wikidata.org/wiki/Q93392206', '//www.wikidata.org/wiki/Q56636331']"
IMP,"Illustrative
Mitigation
Pathways
",1,Chapter 04,[]
SSP,"Shared
Socio-economic Pathway",2,Chapter 04,[]
India,increase sustainability and broaden mitigation options,43,Chapter 04,[]
industry,industry and services,15,Chapter 04,[]
ETSs,"emissions
trading
systems
",2,Chapter 04,[]
Asia Pacific,"Asian Pacific Forum on Women, Law and Development",1,Chapter 04,[]
Africa,African Climate Justice Alliance,47,Chapter 04,[]
EU,European Trade Union Confederation,26,Chapter 04,['//www.wikidata.org/wiki/Q1377852']
global,Global Union,175,Chapter 04,"['//www.wikidata.org/wiki/Q5570909', '//www.wikidata.org/wiki/Q3108971', '//www.wikidata.org/wiki/Q47163025']"
TUCA,"Trade Union Confederation of the Americas
",1,Chapter 04,['//www.wikidata.org/wiki/Q3356083']
