anchor,a_text,target,t_text
human_behaviour,The way in which a person acts in response to a particular situation or stimulus. Human actions are ,human_behaviour,  Human behaviour  The way in which a person acts in response to a particular situation or stimulus.
human_behavioural_change,A transformation or modification of human actions. Behaviour change efforts can be planned in ways t,human_behavioural_change,  Human behavioural change  A transformation or modification of human actions. Behaviour change effo
human_rights,"Rights that are inherent to all human beings, universal, inalienable, and indivisible, typically exp",human_rights,"  Human rights  Rights that are inherent to all human beings, universal, inalienable, and indivisibl"
human_security,"A condition that is met when the vital core of human lives is protected, and when people have the fr",human_security,"  Human security  A condition that is met when the vital core of human lives is protected, and when "
human_system,"Any system in which human organizations and  institutions  play a major role. Often, but not always,",human_system,"  Human system  Any system in which human organizations and  institutions  play a major role. Often,"
hydrological_cycle,"The cycle in which water evaporates from the oceans and the land surface, is carried over the earth ",hydrological_cycle,"  Hydrological cycle  The cycle in which water evaporates from the oceans and the land surface, is c"
ice_sheet,A mass of land ice of continental size that is sufficiently thick to cover most of the underlying be,ice_sheet,  Ice sheet  A mass of land ice of continental size that is sufficiently thick to cover most of the 
_climate_change__impact_assessment,"The practice of identifying and evaluating, in monetary and/or non-monetary terms, the effects of  c",_climate_change__impact_assessment,"  (climate change) Impact assessment  The practice of identifying and evaluating, in monetary and/or"
impacts__consequences__outcomes_,"The consequences of realized risks on natural and  human systems , where risks result from the inter",impacts__consequences__outcomes_,"  Impacts (consequences, outcomes)  The consequences of realized risks on natural and  human systems"
incremental_adaptation,See  Adaptation .,incremental_adaptation,  Incremental adaptation  See  Adaptation .
indigenous_knowledge,"Indigenous knowledge refers to the understandings, skills and philosophies developed by societies wi",indigenous_knowledge,"  Indigenous knowledge  Indigenous knowledge refers to the understandings, skills and philosophies d"
indirect_land-use_change__iluc_,See  Land-use change (LUC) .,indirect_land-use_change__iluc_,  Indirect land-use change (iLUC)  See  Land-use change (LUC) .
industrial_revolution,"A period of rapid industrial growth with far-reaching social and economic consequences, beginning in",industrial_revolution,  Industrial revolution  A period of rapid industrial growth with far-reaching social and economic c
industrialized_developed_developing_countries,There are a diversity of approaches for categorizing countries on the basis of their level of develo,industrialized_developed_developing_countries,  Industrialized/developed/developing countries  There are a diversity of approaches for categorizin
inequality,See Equality.,inequality,  Inequality  See Equality.
information_and_communication_technology__ict_,"An umbrella term that includes any information and communication device or application, encompassing",information_and_communication_technology__ict_,  Information and communication technology (ICT)  An umbrella term that includes any information and
infrastructure_commitment,See  Climate change commitment .,infrastructure_commitment,  Infrastructure commitment  See  Climate change commitment .
institution,"Institutions are rules and norms held in common by social actors that guide, constrain and shape hum",institution,"  Institution  Institutions are rules and norms held in common by social actors that guide, constrai"
institutional_capacity,Institutional  capacity comprises building and strengthening individual organizations and providing ,institutional_capacity,  Institutional capacity  Institutional  capacity comprises building and strengthening individual or
integrated_assessment,"A method of analysis that combines results and models from the physical, biological, economic and so",integrated_assessment,"  Integrated assessment  A method of analysis that combines results and models from the physical, bi"
integrated_assessment_model__iam_,Integrated assessment models (IAMs) integrate knowledge from two or more domains into a single frame,integrated_assessment_model__iam_,  Integrated assessment model (IAM)  Integrated assessment models (IAMs) integrate knowledge from tw
integrated_water_resources_management__iwrm_,"A process which promotes the coordinated development and management of water, land and related resou",integrated_water_resources_management__iwrm_,  Integrated water resources management (IWRM)  A process which promotes the coordinated development
inter-generational_equity,See  Equity .,inter-generational_equity,  Inter-generational equity  See  Equity .
inter-generational_justice,See  Justice .,inter-generational_justice,  Inter-generational justice  See  Justice .
internal_variability,See  Climate variability .,internal_variability,  Internal variability  See  Climate variability .
internet_of_things__iot_,"The network of computing devices embedded in everyday objects such as cars, phones and computers, co",internet_of_things__iot_,  Internet of Things (IoT)  The network of computing devices embedded in everyday objects such as ca
iron_fertilization,See  Ocean fertilization .,iron_fertilization,  Iron fertilization  See  Ocean fertilization .
irreversibility,"A perturbed state of a dynamical system is defined as irreversible on a given timescale, if the reco",irreversibility,  Irreversibility  A perturbed state of a dynamical system is defined as irreversible on a given tim
justice,"Justice is concerned with ensuring that people get what is due to them, setting out the moral or leg",justice,"  Justice  Justice is concerned with ensuring that people get what is due to them, setting out the m"
kyoto_protocol,The Kyoto Protocol to the  United Nations Framework Convention on Climate Change (UNFCCC)  is an int,kyoto_protocol,  Kyoto Protocol  The Kyoto Protocol to the  United Nations Framework Convention on Climate Change (
land_surface_air_temperature,"The near-surface air temperature over land, typically measured at 1.25–2 m above the ground using st",land_surface_air_temperature,"  Land surface air temperature  The near-surface air temperature over land, typically measured at 1."
land_use,"Land use refers to the total of arrangements, activities and inputs undertaken in a certain land cov",land_use,"  Land use  Land use refers to the total of arrangements, activities and inputs undertaken in a cert"
land-use_change__luc_,Land-use change involves a change from one  land use  category to another. ,land-use_change__luc_,  Land-use change (LUC)  Land-use change involves a change from one  land use  category to another. 
land_use__land-use_change_and_forestry__lulucf_,See  Land-use change (LUC) .,land_use__land-use_change_and_forestry__lulucf_,"  Land use, land-use change and forestry (LULUCF)  See  Land-use change (LUC) ."
life_cycle_assessment__lca_,"Compilation and evaluation of the inputs, outputs and the potential environmental impacts of a produ",life_cycle_assessment__lca_,"  Life cycle assessment (LCA)  Compilation and evaluation of the inputs, outputs and the potential e"
likelihood,"The chance of a specific outcome occurring, where this might be estimated probabilistically. Likelih",likelihood,"  Likelihood  The chance of a specific outcome occurring, where this might be estimated probabilisti"
livelihood,The resources used and the activities undertaken in order to live. Livelihoods are usually determine,livelihood,  Livelihood  The resources used and the activities undertaken in order to live. Livelihoods are usu
local_knowledge,"Local knowledge refers to the understandings and skills developed by individuals and populations, sp",local_knowledge,  Local knowledge  Local knowledge refers to the understandings and skills developed by individuals 
lock-in,"A situation in which the future development of a system, including infrastructure, technologies, inv",lock-in,"  Lock-in  A situation in which the future development of a system, including infrastructure, techno"
long-lived_climate_forcers__llcf_,Long-lived climate forcers refer to a set of well-mixed  greenhouse gases  with long atmospheric lif,long-lived_climate_forcers__llcf_,  Long-lived climate forcers (LLCF)  Long-lived climate forcers refer to a set of well-mixed  greenh
loss_and_damage__and_losses_and_damages,Research has taken Loss and Damage (capitalized letters) to refer to political debate under the  UNF,loss_and_damage__and_losses_and_damages,"  Loss and Damage, and losses and damages  Research has taken Loss and Damage (capitalized letters) "
maladaptive_actions__maladaptation_,"Actions that may lead to increased  risk  of adverse climate-related outcomes, including via increas",maladaptive_actions__maladaptation_,  Maladaptive actions (Maladaptation)  Actions that may lead to increased  risk  of adverse climate-
market_failure,When private decisions are based on market prices that do not reflect the real scarcity of goods and,market_failure,  Market failure  When private decisions are based on market prices that do not reflect the real sca
measurement__reporting_and_verification__mrv_,,measurement__reporting_and_verification__mrv_,"  Measurement, Reporting and Verification (MRV) "
megadrought,See  Drought .,megadrought,  Megadrought  See  Drought .
methane__ch,4 )  One of the six  greenhouse gases (GHGs)  to be mitigated under the  Kyoto Protocol  and is the ,methane__ch,  Methane (CH 4 )  One of the six  greenhouse gases (GHGs)  to be mitigated under the  Kyoto Protoco
migrant,See  Migration .,migrant,  Migrant  See  Migration .
migration,The International Organization for Migration (IOM) defines migration as ‘The movement of a person or,migration,  Migration  The International Organization for Migration (IOM) defines migration as ‘The movement o
millennium_development_goals__mdgs_,"A set of eight time-bound and measurable goals for combating  poverty , hunger, disease, ",millennium_development_goals__mdgs_,  Millennium Development Goals (MDGs)  A set of eight time-bound and measurable goals for combating 
mitigation__of_climate_change_,A human intervention to reduce emissions or enhance the  sinks  of  greenhouse gases .,mitigation__of_climate_change_,  Mitigation (of climate change)  A human intervention to reduce emissions or enhance the  sinks  of
mitigation_behaviour,See  Human behaviour .,mitigation_behaviour,  Mitigation behaviour  See  Human behaviour .
mitigation_measures,"In climate  policy , mitigation measures are technologies, processes or practices that contribute to",mitigation_measures,"  Mitigation measures  In climate  policy , mitigation measures are technologies, processes or pract"
mitigation_option,A technology or practice that reduces  GHG  emissions or enhances  sinks . ,mitigation_option,  Mitigation option  A technology or practice that reduces  GHG  emissions or enhances  sinks . 
mitigation_pathways,See  Pathways .,mitigation_pathways,  Mitigation pathways  See  Pathways .
mitigation_scenario,A plausible description of the future that describes how the (studied) system responds to the implem,mitigation_scenario,  Mitigation scenario  A plausible description of the future that describes how the (studied) system
monitoring_and_evaluation__m_e_,Monitoring and evaluation refers to mechanisms put in place at national to local scales to respectiv,monitoring_and_evaluation__m_e_,  Monitoring and evaluation (M&E)  Monitoring and evaluation refers to mechanisms put in place at na
motivation__of_an_individual_,An individual’s reason or reasons for acting in a particular way; individuals may consider various c,motivation__of_an_individual_,  Motivation (of an individual)  An individual’s reason or reasons for acting in a particular way; i
multilevel_governance,See  Governance .,multilevel_governance,  Multilevel governance  See  Governance .
narratives,"Qualitative descriptions of plausible future world evolutions, describing the characteristics, gener",narratives,"  Narratives  Qualitative descriptions of plausible future world evolutions, describing the characte"
nationally_determined_contributions__ndcs_,A term used under the  United Nations Framework Convention on Climate Change (UNFCCC)  whereby a cou,nationally_determined_contributions__ndcs_,  Nationally Determined Contributions (NDCs)  A term used under the  United Nations Framework Conven
negative_emissions,"Removal of  greenhouse gases (GHGs)  from the atmosphere by deliberate human activities, i.e., in ad",negative_emissions,  Negative emissions  Removal of  greenhouse gases (GHGs)  from the atmosphere by deliberate human a
net_zero_co,2 emissions  Net zero  carbon dioxide (CO 2 )  emissions are achieved when  anthropogenic  CO 2 emis,net_zero_co,  Net zero CO 2 emissions  Net zero  carbon dioxide (CO 2 )  emissions are achieved when  anthropoge
net_zero_emissions,Net zero emissions are achieved when  anthropogenic emissions  of  greenhouse gases  to the  atmosph,net_zero_emissions,  Net zero emissions  Net zero emissions are achieved when  anthropogenic emissions  of  greenhouse 
nitrous_oxide__n,2 O)  One of the six  greenhouse gases (GHGs)  to be mitigated under the  Kyoto Protocol . The main ,nitrous_oxide__n,  Nitrous oxide (N 2 O)  One of the six  greenhouse gases (GHGs)  to be mitigated under the  Kyoto P
non-co,2 emissions and radiative forcing  Non-CO 2 emissions included in this report are all  anthropogenic,non-co,  Non-CO 2 emissions and radiative forcing  Non-CO 2 emissions included in this report are all  anth
non-overshoot_pathways,See  Pathways .,non-overshoot_pathways,  Non-overshoot pathways  See  Pathways .
ocean_acidification__oa_,"Ocean acidification refers to a reduction in the  pH  of the ocean over an extended period, typicall",ocean_acidification__oa_,  Ocean acidification (OA)  Ocean acidification refers to a reduction in the  pH  of the ocean over 
ocean_fertilization,Deliberate increase of nutrient supply to the near-surface ocean in order to enhance biological prod,ocean_fertilization,  Ocean fertilization  Deliberate increase of nutrient supply to the near-surface ocean in order to 
overshoot,See  Temperature overshoot .,overshoot,  Overshoot  See  Temperature overshoot .
overshoot_pathways,See  Pathways .,overshoot_pathways,  Overshoot pathways  See  Pathways .
ozone__o,"3 )  Ozone, the triatomic form of oxygen (O 3 ), is a gaseous atmospheric constituent. In the  tropo",ozone__o,"  Ozone (O 3 )  Ozone, the triatomic form of oxygen (O 3 ), is a gaseous atmospheric constituent. In"
paris_agreement,The Paris Agreement under the  United Nations Framework Convention on Climate Change (UNFCCC)  was a,paris_agreement,  Paris Agreement  The Paris Agreement under the  United Nations Framework Convention on Climate Cha
participatory_governance,See  Governance .,participatory_governance,  Participatory governance  See  Governance .
pathways,The temporal evolution of natural and/or  human systems  towards a future state. Pathway concepts ra,pathways,  Pathways  The temporal evolution of natural and/or  human systems  towards a future state. Pathway
peri-urban_areas,Peri-urban areas are those parts of a city that appear to be quite rural but are in reality strongly,peri-urban_areas,  Peri-urban areas  Peri-urban areas are those parts of a city that appear to be quite rural but are
permafrost,Ground (soil or rock and included ice and organic material) that remains at or below 0°C for at leas,permafrost,  Permafrost  Ground (soil or rock and included ice and organic material) that remains at or below 0
policies__for_climate_change_mitigation_and_adaptation_,Policies are taken and/or mandated by a government – often in conjunction with business and industry,policies__for_climate_change_mitigation_and_adaptation_,  Policies (for climate change mitigation and adaptation)   Policies are taken and/or mandated by a 
political_economy,"The set of interlinked relationships between people, the state, society and markets as defined by la",political_economy,"  Political economy  The set of interlinked relationships between people, the state, society and mar"
poverty,Poverty is a complex concept with several definitions stemming from different schools of thought. It,poverty,  Poverty  Poverty is a complex concept with several definitions stemming from different schools of 
poverty_eradication,A set of measures to end  poverty  in all its forms everywhere. See also  Sustainable Development Go,poverty_eradication,  Poverty eradication  A set of measures to end  poverty  in all its forms everywhere. See also  Sus
precursors,"Atmospheric compounds that are not  greenhouse gases (GHGs)  or  aerosols , but that have an effect ",precursors,"  Precursors  Atmospheric compounds that are not  greenhouse gases (GHGs)  or  aerosols , but that h"
pre-industrial,The multi-century period prior to the onset of large-scale industrial activity around 1750. The  ref,pre-industrial,  Pre-industrial  The multi-century period prior to the onset of large-scale industrial activity aro
procedural_equity,See  Equity .,procedural_equity,  Procedural equity  See  Equity .
procedural_justice,See  Justice .,procedural_justice,  Procedural justice  See  Justice .
procedural_rights,See  Human rights .,procedural_rights,  Procedural rights  See  Human rights .
projection,"A projection is a potential future evolution of a quantity or set of quantities, often computed with",projection,"  Projection  A projection is a potential future evolution of a quantity or set of quantities, often"
purchasing_power_parity__ppp_,The purchasing power of a currency is expressed using a basket of goods and services that can be bou,purchasing_power_parity__ppp_,  Purchasing power parity (PPP)  The purchasing power of a currency is expressed using a basket of g
radiative_forcing,"Radiative forcing is the change in the net, downward minus upward, radiative flux (expressed in W m ",radiative_forcing,"  Radiative forcing  Radiative forcing is the change in the net, downward minus upward, radiative fl"
reasons_for_concern__rfcs_,"Elements of a classification framework, first developed in the IPCC Third Assessment Report, which a",reasons_for_concern__rfcs_,"  Reasons for Concern (RFCs)  Elements of a classification framework, first developed in the IPCC Th"
reducing_emissions_from_deforestation_and_forest_degradation__redd__,"An effort to create financial value for the carbon stored in  forests , offering incentives for deve",reducing_emissions_from_deforestation_and_forest_degradation__redd__,  Reducing Emissions from Deforestation and Forest Degradation (REDD+)  An effort to create financia
reference_period,The period relative to which  anomalies  are computed. See also  Anomaly .,reference_period,  Reference period  The period relative to which  anomalies  are computed. See also  Anomaly .
reference_scenario,See  Baseline scenario .,reference_scenario,  Reference scenario  See  Baseline scenario .
reforestation,Planting of  forests  on lands that have previously contained forests but that have been converted t,reforestation,  Reforestation  Planting of  forests  on lands that have previously contained forests but that have
region,A region is a relatively large-scale land or ocean area characterized by specific geographical and c,region,  Region  A region is a relatively large-scale land or ocean area characterized by specific geograph
remaining_carbon_budget,Estimated cumulative net global  anthropogenic  CO 2 emissions from the start of 2018 to the time th,remaining_carbon_budget,  Remaining carbon budget  Estimated cumulative net global  anthropogenic  CO 2 emissions from the s
representative_concentration_pathways__rcps_,See  Pathways .,representative_concentration_pathways__rcps_,  Representative Concentration Pathways (RCPs)  See  Pathways .
resilience,"The capacity of social, economic and environmental systems to cope with a hazardous event or trend o",resilience,"  Resilience  The capacity of social, economic and environmental systems to cope with a hazardous ev"
risk,The potential for adverse consequences where something of value is at stake and where the occurrence,risk,  Risk  The potential for adverse consequences where something of value is at stake and where the oc
risk_assessment,"The qualitative and/or quantitative scientific estimation of  risks . See also  Risk ,  Risk managem",risk_assessment,  Risk assessment  The qualitative and/or quantitative scientific estimation of  risks . See also  R
risk_management,"Plans, actions, strategies or policies to reduce the  likelihood  and/or consequences of risks or to",risk_management,"  Risk management  Plans, actions, strategies or policies to reduce the  likelihood  and/or conseque"
risk_perception,The subjective judgment that people make about the characteristics and severity of a  risk . See als,risk_perception,  Risk perception  The subjective judgment that people make about the characteristics and severity o
runoff,"The flow of water over the surface or through the subsurface, which typically originates from the pa",runoff,"  Runoff  The flow of water over the surface or through the subsurface, which typically originates f"
scenario,A plausible description of how the future may develop based on a coherent and internally consistent ,scenario,  Scenario  A plausible description of how the future may develop based on a coherent and internally
scenario_storyline,"A  narrative  description of a  scenario  (or family of scenarios), highlighting the main scenario c",scenario_storyline,"  Scenario storyline  A  narrative  description of a  scenario  (or family of scenarios), highlighti"
sdg-interaction_score,"A seven-point scale (Nilsson et al., 2016) used to rate interactions between  mitigation options  an",sdg-interaction_score,"  SDG-interaction score  A seven-point scale (Nilsson et al., 2016) used to rate interactions betwee"
sea_ice,Ice found at the sea surface that has originated from the freezing of seawater. Sea ice may be disco,sea_ice,  Sea ice  Ice found at the sea surface that has originated from the freezing of seawater. Sea ice m
sea_level_change__sea_level_rise_sea_level_fall_,"Sea level can change, both globally and locally (relative sea level change) due to (1) a change in o",sea_level_change__sea_level_rise_sea_level_fall_,"  Sea level change (sea level rise/sea level fall)  Sea level can change, both globally and locally "
sea_surface_temperature__sst_,"The sea surface temperature is the subsurface bulk temperature in the top few meters of the ocean, m",sea_surface_temperature__sst_,  Sea surface temperature (SST)  The sea surface temperature is the subsurface bulk temperature in t
sendai_framework_for_disaster_risk_reduction,The Sendai Framework for Disaster Risk Reduction 2015–2030 outlines seven clear targets and four pri,sendai_framework_for_disaster_risk_reduction,  Sendai Framework for Disaster Risk Reduction  The Sendai Framework for Disaster Risk Reduction 201
sequestration,See  Uptake .,sequestration,  Sequestration  See  Uptake .
shared_socio-economic_pathways__ssps_,See  Pathways .,shared_socio-economic_pathways__ssps_,  Shared Socio-economic Pathways (SSPs)  See  Pathways .
short-lived_climate_forcers__slcf_,Short-lived climate forcers refers to a set of compounds that are primarily composed of those with s,short-lived_climate_forcers__slcf_,  Short-lived climate forcers (SLCF)  Short-lived climate forcers refers to a set of compounds that 
short-lived_climate_pollutants__slcp_,See  Short-lived climate forcers (SLCF) .,short-lived_climate_pollutants__slcp_,  Short-lived climate pollutants (SLCP)  See  Short-lived climate forcers (SLCF) .
sink,"A reservoir (natural or human, in soil, ocean, and plants) where a  greenhouse gas , an  aerosol  or",sink,"  Sink  A reservoir (natural or human, in soil, ocean, and plants) where a  greenhouse gas , an  aer"
small_island_developing_states__sids_,"Small island developing states (SIDS), as recognised by the United Nations OHRLLS (Office of the Hig",small_island_developing_states__sids_,"  Small island developing states (SIDS)  Small island developing states (SIDS), as recognised by the"
social_cost_of_carbon__scc_,The net present value of aggregate climate damages (with overall harmful damages expressed as a numb,social_cost_of_carbon__scc_,  Social cost of carbon (SCC)  The net present value of aggregate climate damages (with overall harm
social_costs,"The full costs of an action in terms of social welfare losses, including external costs associated w",social_costs,"  Social costs  The full costs of an action in terms of social welfare losses, including external co"
social-ecological_systems,"An integrated system that includes human societies and  ecosystems , in which humans are part of nat",social-ecological_systems,"  Social-ecological systems  An integrated system that includes human societies and  ecosystems , in"
social_inclusion,"A process of improving the terms of participation in society, particularly for people who are disadv",social_inclusion,"  Social inclusion  A process of improving the terms of participation in society, particularly for p"
social_justice,See  Justice .,social_justice,  Social justice  See  Justice .
social_learning,"A process of social interaction through which people learn new behaviours, capacities, values and at",social_learning,"  Social learning  A process of social interaction through which people learn new behaviours, capaci"
social_value_of_mitigation_activities__svma_,"Social, economic and environmental value of  mitigation  activities that include, in addition to the",social_value_of_mitigation_activities__svma_,"  Social value of mitigation activities (SVMA)  Social, economic and environmental value of  mitigat"
societal__social__transformation,See  Transformation .,societal__social__transformation,  Societal (social) transformation  See  Transformation .
socio-economic_scenario,"A  scenario  that describes a possible future in terms of population,  gross domestic product (GDP) ",socio-economic_scenario,"  Socio-economic scenario  A  scenario  that describes a possible future in terms of population,  gr"
socio-technical_transitions,Socio-technical transitions are where technological change is associated with social systems and the,socio-technical_transitions,  Socio-technical transitions  Socio-technical transitions are where technological change is associa
soil_carbon_sequestration__scs_,"Land management changes which increase the soil organic carbon content, resulting in a net removal o",soil_carbon_sequestration__scs_,  Soil carbon sequestration (SCS)  Land management changes which increase the soil organic carbon co
soil_moisture,Water stored in the soil in liquid or frozen form. Root- zone soil moisture is of most relevance for,soil_moisture,  Soil moisture  Water stored in the soil in liquid or frozen form. Root- zone soil moisture is of m
solar_radiation_management,See  Solar radiation modification (SRM) .,solar_radiation_management,  Solar radiation management  See  Solar radiation modification (SRM) .
solar_radiation_modification__srm_,Solar radiation modification refers to the intentional modification of the Earth’s shortwave radiati,solar_radiation_modification__srm_,  Solar radiation modification (SRM)  Solar radiation modification refers to the intentional modific
stranded_assets,Assets exposed to devaluations or conversion to ‘liabilities’ because of unanticipated changes in th,stranded_assets,  Stranded assets  Assets exposed to devaluations or conversion to ‘liabilities’ because of unantici
stratosphere,The highly stratified region of the  atmosphere  above the  troposphere  extending from about 10 km ,stratosphere,  Stratosphere  The highly stratified region of the  atmosphere  above the  troposphere  extending f
sub-national_actor,"Sub-national actors include state/provincial, regional, metropolitan and local/municipal governments",sub-national_actor,"  Sub-national actor  Sub-national actors include state/provincial, regional, metropolitan and local"
substantive_rights,See  Human rights .,substantive_rights,  Substantive rights  See  Human rights .
supply-side_measures,See  Demand- and supply-side measures .,supply-side_measures,  Supply-side measures  See  Demand- and supply-side measures .
surface_temperature,"See  Global mean surface temperature (GMST) ,  Land surface air temperature ,  Global mean surface a",surface_temperature,"  Surface temperature  See  Global mean surface temperature (GMST) ,  Land surface air temperature ,"
sustainability,A dynamic process that guarantees the persistence of natural and  human systems  in an equitable man,sustainability,  Sustainability  A dynamic process that guarantees the persistence of natural and  human systems  i
sustainable_development__sd_,Development that meets the needs of the present without compromising the ability of future generatio,sustainable_development__sd_,  Sustainable development (SD)  Development that meets the needs of the present without compromising
sustainable_development_goals__sdgs_,The 17 global goals for development for all countries established by the United Nations through a pa,sustainable_development_goals__sdgs_,  Sustainable Development Goals (SDGs)  The 17 global goals for development for all countries establ
technology_transfer,"The exchange of knowledge, hardware and associated software, money and goods among stakeholders, whi",technology_transfer,"  Technology transfer  The exchange of knowledge, hardware and associated software, money and goods "
temperature_overshoot,"The temporary exceedance of a specified level of  global warming , such as 1.5°C. Overshoot implies ",temperature_overshoot,"  Temperature overshoot  The temporary exceedance of a specified level of  global warming , such as "
tipping_point,"A level of change in system properties beyond which a system reorganizes, often abruptly, and does n",tipping_point,"  Tipping point  A level of change in system properties beyond which a system reorganizes, often abr"
transformation,A change in the fundamental attributes of natural ,transformation,  Transformation  A change in the fundamental attributes of natural 
transformation_pathways,See  Pathways .,transformation_pathways,  Transformation pathways  See  Pathways .
transformational_adaptation,See  Adaptation .,transformational_adaptation,  Transformational adaptation  See  Adaptation .
transformative_change,A system-wide change that requires more than technological change through consideration of social an,transformative_change,  Transformative change  A system-wide change that requires more than technological change through c
transient_climate_response,See  Climate sensitivity .,transient_climate_response,  Transient climate response  See  Climate sensitivity .
transient_climate_response_to_cumulative_co,2 emissions (TCRE)  The transient global average surface temperature change per unit cumulative  CO ,transient_climate_response_to_cumulative_co,  Transient climate response to cumulative CO 2 emissions (TCRE)  The transient global average surfa
transit-oriented_development__tod_,"An approach to urban development that maximizes the amount of residential, business and leisure spac",transit-oriented_development__tod_,  Transit-oriented development (TOD)  An approach to urban development that maximizes the amount of 
transition,The process of changing from one state or condition to another in a given period of time. Transition,transition,  Transition  The process of changing from one state or condition to another in a given period of ti
tropical_cyclone,"The general term for a strong, cyclonic-scale disturbance that originates over tropical oceans. Dist",tropical_cyclone,"  Tropical cyclone  The general term for a strong, cyclonic-scale disturbance that originates over t"
troposphere,"The lowest part of the  atmosphere , from the surface to about 10 km in altitude at mid-latitudes (r",troposphere,"  Troposphere  The lowest part of the  atmosphere , from the surface to about 10 km in altitude at m"
uncertainty,A state of incomplete knowledge that can result from a lack of information or from disagreement abou,uncertainty,  Uncertainty  A state of incomplete knowledge that can result from a lack of information or from di
united_nations_framework_convention_on_climate_change__unfccc_,The UNFCCC was adopted in May 1992 and opened for signature at the 1992 Earth Summit in Rio de Janei,united_nations_framework_convention_on_climate_change__unfccc_,  United Nations Framework Convention on Climate Change (UNFCCC)  The UNFCCC was adopted in May 1992
uptake,The addition of a substance of concern to a reservoir. See also  Carbon sequestration  and  Sink .,uptake,  Uptake  The addition of a substance of concern to a reservoir. See also  Carbon sequestration  and
vulnerability,The propensity or predisposition to be adversely affected. Vulnerability encompasses a variety of co,vulnerability,  Vulnerability  The propensity or predisposition to be adversely affected. Vulnerability encompasse
water_cycle,See  Hydrological cycle .,water_cycle,  Water cycle  See  Hydrological cycle .
well-being,"A state of existence that fulfils various human needs, including material living conditions and qual",well-being,"  Well-being  A state of existence that fulfils various human needs, including material living condi"
zero_emissions_commitment,See  Climate change commitment .,zero_emissions_commitment,  Zero emissions commitment  See  Climate change commitment .
