Annexes,,Q194465,acquisition of a state's territory by another state,"['Q194465', 'Q43879252', 'Q64477101', 'Q64529981', 'Q64474354']"
AIAI,,Q11486420,Japanese singer and talent,"['Q11486420', 'Q96148697', 'Q106068934', 'Q106087684', 'Q106087685']"
Coordinating Editor: ,,Q329316,1985 American animated dark fantasy adventure film,"['Q329316', 'Q706364', 'Q47477028', 'Q47462241', 'Q47414924']"
Editorial team:,,Q55449538,Editorial Board,"['Q55449538', 'Q10995373', 'Q15869559', 'Q66764266', 'Q33129403']"
Annex I: Glossary,,,,
This annex should be cited as:,,,,
AI,,Q11660,field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents,"['Q11660', 'Q160115', 'Q42970', 'Q25228', 'Q12094']"
Ablation ,"of glaciers, ice sheets, or snow cover) ",Q28693,natural death of an embryo or fetus before it is ,"['Q28693', 'Q11436', 'Q11875349', 'Q4833830', 'Q1809554']"
Abrupt climate change ,,Q107046714,scholarly article,"['Q107046714', 'Q30940562', 'Q59875918', 'Q28187141', 'Q57208882']"
Accumulation ,"of glaciers, ice sheets or snow cover) ",Q117121,multisystem disease due to abnormal ,"['Q117121', 'Q857667', 'Q184624', 'Q152234', 'Q15324']"
Active layerÂ ,,Q57379570,,"['Q57379570', 'Q112951547', 'Q57879385', 'Q58380640', 'Q58604294']"
Adaptability ,,Q51373997,"Berkeley, Calif. :Dept. of Agriculture, Forest Service, Pacific Southwest Forest and Range Experim","['Q51373997', 'Q112891240', 'Q51396054', 'Q51524058', 'Q56736584']"
Adaptation ,,Q352431,2002 film directed by Spike Jonze,"['Q352431', 'Q3331189', 'Q483921', 'Q15752938', 'Q15763330']"
Ecosystem-based Adaptation ,EbA) ,Q57981374,scholarly article by Sheila Wertz-Kanounnikoff et al published April 2011 in Climate and Development,"['Q57981374', 'Q56419294', 'Q57206396', 'Q99239414', 'Q58117157']"
Evolutionary adaptation ,,Q37203938,scientific article published on August 2008,"['Q37203938', 'Q33829627', 'Q59867557', 'Q37847752', 'Q102154146']"
Incremental adaptation,,Q28729724,scientific article (publication date: 8 May 2012),"['Q28729724', 'Q34159565', 'Q36442855', 'Q58643439', 'Q81320935']"
Transformational adaptation ,,Q56329912,article,"['Q56329912', 'Q28729724', 'Q31120954', 'Q58406037', 'Q59208042']"
Adaptation limits ,,Q36743422,scientific article published on December 2007,"['Q36743422', 'Q35470148', 'Q36657158', 'Q34499229', 'Q35644979']"
Adaptation limits ,,Q36743422,scientific article published on December 2007,"['Q36743422', 'Q35470148', 'Q36657158', 'Q34499229', 'Q35644979']"
Adaptation options ,,Q58345073,scholarly article by M.G. Rivera-Ferre et al published 25 July 2016 in Wiley Interdisciplinary Reviews: WIREs Climate Change,"['Q58345073', 'Q58079890', 'Q57161163', 'Q58261024', 'Q33481724']"
